Area,City
Balham,London
Beckenham,London
Belfast,Belfast
Bishop Stortford,Bishop Stortford
Bognor Regis,Bognor Regis
Brighton,Brighton
Brixton,London
Bury St Edmunds,Bury St Edmunds
Bury St. Edmunds,Bury St Edmunds
Cambridge,Cambridge
Camden,London
Cardiff,Cardiff
Cheadle,Cheadle
Clapham,London
Cr0,London
Dalston,London
Dewsbury,Dewsbury
Dorchester,Dorchester
Durham,Durham
Ealing,London
East Central,London
East London,London
Edinburg,Edinburgh
Glasgow,Glasgow
Greenwich,London
Guildford,Guildford
Harpenden,Harpenden
Headingley,Leeds
Hemel Hempstead,Hemel Hempstead
Hereford,Hereford
Hounslow (Hcn),London
Ilford,London
Islington,London
Kennington,London
Kingston,London
Kingston Upton Thames,London
Le1,Leicester
Leeds Centre,Leeds
Liverpool,Liverpool
Liverpool city center,Liverpool
London East Central,London
Lonson,London
Loughborough,Loughborough
Luton,Luton
Newcastle,Newcastle upon Tyne
Newcastle Upon Tyne,Newcastle upon Tyne
Newcastle-Upon-Tyne,Newcastle upon Tyne
Oldham,Manchester
Oxford,Oxford
Peckham,London
Perth,Perth
Portsmouth,Portsmouth
Reading,Reading
Reigate,Reigate
Royal Tunbridge Wells,Tunbridge Wells
Rugby,Rugby
Salisbury,Salisbury
Shefffield,Sheffield
Sheffield,Sheffield
South East London,London
South Kensington,London
Southampton,Southampton
Stafford,Stafford
Stirling,Stirling
Stratford,London
Sutton,London
Tunbridge Wells,Tunbridge Wells
Vauxhall,London
Walthamstow,London
Waterlooville,Waterlooville
Weymouth,Weymouth
Winchester,Winchester
Wolverhampton,Birmingham
Wolverhamton,Birmingham