Area,City,Region
Balham,London,London
Beckenham,London,London
Belfast,Belfast,Northern Ireland
Bishop Stortford,Bishop Stortford,East of England
Bognor Regis,Bognor Regis,South East
Brighton,Brighton,South East
Brixton,London,London
Bury St Edmunds,Bury St Edmunds,East of England
Bury St. Edmunds,Bury St Edmunds,East of England
Cambridge,Cambridge,East of England
Camden,London,London
Cardiff,Cardiff,Wales
Cheadle,Manchester,North West
Clapham,London,London
Cr0,London,London
Dalston,London,London
Dewsbury,Dewsbury,Yorkshire & Humber
Dorchester,Dorchester,South West
Durham,Durham,North East
Ealing,London,London
East Central,London,London
East London,London,London
Edinburg,Edinburgh,Scotland
Greenwich,London,London
Guildford,Guildford,South East
Harpenden,Harpenden,East of England
Headingley,Leeds,Yorkshire & Humber
Hemel Hempstead,Hemel Hempstead,East of England
Hereford,Hereford,West Midlands
Hounslow (Hcn),London,London
Ilford,London,London
Islington,London,London
Kennington,London,London
Kingston,London,London
Kingston Upton Thames,London,London
Le1,Leicester,East Midlands
Leeds Centre,Leeds,Yorkshire & Humber
Liverpool,Liverpool,North West
Liverpool city center,Liverpool,North West
London East Central,London,London
Lonson,London,London
Luton,Luton,East of England
Newcastle,Newcastle upon Tyne,North East
Newcastle Upon Tyne,Newcastle upon Tyne,North East
Newcastle-Upon-Tyne,Newcastle upon Tyne,North East
Oldham,Manchester,North West
Oxford,Oxford,South East
Peckham,London,London
Perth,Perth,Scotland
Portsmouth,Portsmouth,South East
Reading Wokingham Branckell,,South East
"Reading, Berkshire And Wokingham",,South East
"Reading, Branckellm Berkshire",,South East
"Reading, Wokingham, Bracknell And Berkshire Area",,South East
Reigate,Reigate,South East
Royal Tunbridge Wells,Tunbridge Wells,South East
Rugby,Rugby,West Midlands
Salisbury,Salisbury,South West
Shefffield,Sheffield,Yorkshire & Humber
Sheffield,Sheffield,Yorkshire & Humber
South East London,London,London
South Kensington,London,London
Southampton,Southampton,South East
Stafford,Stafford,West Midlands
Stirling,Stirling,Scotland
Stratford,London,London
Sutton,London,London
Vauxhall,London,London
Walthamstow,London,London
Waterlooville,Waterlooville,South East
Weymouth,Weymouth,South West
Winchester,Winchester,South East
Wolverhampton,Birmingham,West Midlands
Wolverhamton,Birmingham,West Midlands